scode,12-ys,12-lr,12-ro,13-ys,13-lr,13-ro,14-ys,14-lr,14-ro,15-ys,15-lr,15-ro,16-ys,16-lr,16-ro,17-ro
002632,-11.17463984589748,-47.68435953005461,4.42,12.067735742732403,-52.859606484816155,2.05,13.91479026179929,50.26906186827408,3.04,-6.7145883700855435,63.11269520956363,3.9,20.867794292309462,8.15627233678065,3.46,7.98
000659,-13.777596971262824,-499.5694651715615,-8.18,-10.212192734008374,-512.0868631453635,-69.47,-15.20304170669223,104.13100153868857,4.17,-20.90700138290746,-244.66171725055673,-6.11,-13.622164679981944,-764.1894413079444,-75.3,17.78
002047,116.58485370672709,241.77271647386837,27.8,27.943741417467173,44.48843851198869,27.93,44.42547188367655,22.230456619782657,15.37,27.33313741317918,24.787240889631644,14.9,-0.5566542951283572,1.2201880950641815,14.07,12.32
002520,-26.568714991217103,-30.987402688181398,9.23,-23.5450243527758,-87.84338889014914,1.24,122.95215304231934,490.48144207227483,7.54,39.18501366927302,-18.493348160962146,5.86,2.082916557262948,3.9079791803527213,2.46,3.36
300094,10.402424224284726,-2024.074761038613,-14.69,52.38359239860877,125.04871359613396,3.81,-3.815346113130634,298.34130963031834,13.59,-2.7657250821510995,-89.88235702129485,1.32,26.60734201347933,312.65794000537204,5.3,7.66
002454,-1.406545778610898,-36.9720179575139,7.81,29.952428232284344,64.0494604456159,11.89,28.40645160232791,15.378495206918682,12.42,18.744948922827938,12.246659687228405,12.86,7.814120079010786,-24.51941391270649,8.91,12.87
000506,-19.325247446601445,42.58468525623177,23.43,-15.264172019276026,-39.16888101703958,12.19,-60.63078652160993,-211.86085418645578,-14.05,288.57844192708325,110.0358687742188,1.41,-41.48174648380545,-59.56042034746761,0.6,-36.13
002330,2.216946158114626,2.204782498629504,3.76,3.9050674653834614,-18.797618155367353,3.05,-20.926356979880108,-10.86642058647708,2.7,-4.400453740435645,-35.76345231435819,1.72,1.5861115900187521,-60.051388408632334,0.75,0.56
000066,4.294163204229859,-336.5704686979258,-8.02,-2.3736042545056026,112.3102029898928,1.05,-0.8390347376785006,-144.34124055636383,-0.49,-5.530086409091314,-172.79370300637586,-1.39,-5.2205967737493415,192.93754746910784,1.252,9.12
002291,16.405594647313375,-43.854781748266376,3.55,17.527320974987088,-39.06615204133719,2.12,-4.6755725235621775,5.672041268021702,2.22,-6.599289248642302,-37.31903665097757,1.3,-9.613135836121282,-7.5215372998134855,1.14,-21.18
300209,-18.128090425209308,-90.9656081011965,0.58,20.4855394336732,41.04760126979459,0.82,9.329599915186202,50.00901845335481,1.21,70.5135121539277,-82.94782764826118,0.2,145.80232787094877,5437.076339855112,6.33,5.3
002009,11.299079757878909,31.68914367295732,8.82,1.6309311433955187,-12.503765675081382,4.21,10.749438382689993,204.8242521533251,7.74,12.41073159303412,-24.27646950236806,5.92,12.04690544393037,5.366246015500057,5.77,4.34
002386,3.0509150407474332,214.98432946552114,1.67,57.0356245662262,-13.5769041624868,1.43,0.3489556324922267,7.427855802264853,1.52,16.493971605892124,-73.30061783350003,0.4,16.8530530577838,240.72657089563364,1.37,2.5
002102,6.302536888924941,116.97006483782847,3.33,168.28967199461258,37.38876439721287,4.38,0.36265528112667644,-79.7015031875137,0.85,-29.760969182260986,3296.3225009785538,7.53,-32.595015002550525,26.960098471199796,8.17,5.55
